,lat_cr2,lon_cr2,x_cr2,y_cr2,Dist_Lag,Dist_Co,Dist_Ca,Fact_Lag,Fact_Coy,Fact_Can,Factor
0,-19.975,-68.925,507846.632,7791283.434,11996.96006444034,12115.869264885014,36332.36871055577,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,5.814935825256574e-05
1,-19.975,-68.875,513077.724,7791280.315,7761.789044891426,8391.698069247179,31515.61707318121,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,6.0003812350236654e-05
2,-19.975,-68.825,518308.825,7791275.637,5595.51507284118,6982.397555739394,26855.103093125348,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,6.0877675402084493e-05
3,-19.975,-68.775,523539.936,7791269.399,7557.820958139623,9044.028381163991,22448.355403309437,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,5.772299875350655e-05
4,-19.925,-68.925,507849.103,7796816.407,10615.027288907833,15952.160252964155,34709.08484054662,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,5.8144133488947094e-05
5,-19.925,-68.875,513081.843,7796813.295,5382.445263973808,13344.430381086791,29627.86784417123,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,6.149852516352039e-05
6,-19.925,-68.825,518314.591,7796808.626,161.14611120649408,12506.01791815289,24610.71164999407,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,7.06367105043281e-05
7,-19.925,-68.775,523547.35,7796802.401,5083.786251338742,13764.147527445748,19706.609697644795,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,5.89403600054528e-05
8,-19.925,-68.725,528780.123,7796794.62,10316.391139130457,16650.16849078508,15026.672701484076,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,4.965200180426718e-05
9,-19.875,-68.875,513085.952,7802346.243,7676.170345383871,18626.69473200614,28698.701420401492,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,5.8725569264938815e-05
10,-19.875,-68.825,518320.343,7802341.584,5474.469195337828,18035.35306997614,23482.045921441902,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,5.964589058072972e-05
11,-19.875,-68.775,523554.746,7802335.372,7469.733440953877,18929.766802761085,18275.704867252007,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,5.4655373033095906e-05
12,-19.875,-68.725,528789.162,7802327.608,11679.2710227954,21122.040195774378,13092.004854104953,7.116348621168738e-05,6.200700639603694e-05,7.1684402314451495e-06,4.574361084830356e-05
