,lat_cr2,lon_cr2,x_cr2,y_cr2,Dist_Lag,Dist_Co,Dist_Ca,Fact_Lag,Fact_Coy,Fact_Can,Factor
0,-19.975,-68.925,507846.632,7791283.434,11996.96006444034,12115.869264885014,36332.36871055577,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.644719082676525e-05
1,-19.975,-68.875,513077.724,7791280.315,7761.789044891426,8391.698069247179,31515.61707318121,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.689351747416e-05
2,-19.975,-68.825,518308.825,7791275.637,5595.51507284118,6982.397555739394,26855.103093125348,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.723217827687795e-05
3,-19.975,-68.775,523539.936,7791269.399,7557.820958139623,9044.028381163991,22448.355403309437,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.65459498872047e-05
4,-19.925,-68.925,507849.103,7796816.407,10615.027288907833,15952.160252964155,34709.08484054662,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.687127444805375e-05
5,-19.925,-68.875,513081.843,7796813.295,5382.445263973808,13344.430381086791,29627.86784417123,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.806860681626783e-05
6,-19.925,-68.825,518314.591,7796808.626,161.14611120649408,12506.01791815289,24610.71164999407,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,9.140426183114544e-05
7,-19.925,-68.775,523547.35,7796802.401,5083.786251338742,13764.147527445748,19706.609697644795,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.758895939809965e-05
8,-19.925,-68.725,528780.123,7796794.62,10316.391139130457,16650.16849078508,15026.672701484076,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.51720707117397e-05
9,-19.875,-68.875,513085.952,7802346.243,7676.170345383871,18626.69473200614,28698.701420401492,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.744992663325934e-05
10,-19.875,-68.825,518320.343,7802341.584,5474.469195337828,18035.35306997614,23482.045921441902,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.789784573868934e-05
11,-19.875,-68.775,523554.746,7802335.372,7469.733440953877,18929.766802761085,18275.704867252007,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.660462304986112e-05
12,-19.875,-68.725,528789.162,7802327.608,11679.2710227954,21122.040195774378,13092.004854104953,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.444163318766991e-05
13,-19.825,-68.875,513090.051,7807879.16,12251.650953247261,24022.060369006824,28820.96102586108,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.639998541651305e-05
14,-19.825,-68.825,518326.082,7807874.511,11006.375141064551,23566.358983047045,23629.505792120257,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.622680055048992e-05
15,-19.825,-68.775,523562.124,7807868.312,12123.354848915307,24257.913380518043,18462.9466294175,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.53248989512793e-05
16,-19.825,-68.725,528798.18,7807860.564,15086.741047638568,26005.36787877666,13350.231826545049,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.372944842364582e-05
17,-19.775,-68.825,518331.806,7813407.407,16538.93531492501,29098.06519992807,25030.528995953715,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.528696827663016e-05
18,-19.775,-68.775,523569.484,7813401.222,17302.61052938377,29661.113541395305,20223.414233989803,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.456580081072593e-05
19,-19.875,-68.625,539258.049,7802307.419,21493.461215773492,28035.321444098932,3257.8768107408587,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,7.889914629816209e-05
20,-19.875,-68.575,544492.525,7802294.995,26588.071299281044,32218.240907530246,3525.491757989181,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,7.867391201980676e-05
21,-19.825,-68.625,539270.345,7807840.418,23521.81976781854,31878.30421264169,4170.3204658331015,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,7.921275088078702e-05
22,-19.825,-68.575,544506.461,7807828.02,28254.378320835724,35613.79333051873,4382.636280929327,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,7.89650295416898e-05
23,-20.075,-68.875,513069.457,7780214.263,17506.609001117526,6228.84254143704,37520.27027959694,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.535213904502837e-05
24,-20.075,-68.825,518297.251,7780209.565,16660.269498066722,4140.698996573239,33703.203979031525,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.514879190221167e-05
25,-20.025,-68.875,513073.596,7785747.305,12359.148633957253,4898.483280387916,34203.6122833576,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.565033297953299e-05
26,-20.025,-68.825,518303.045,7785742.617,11127.547131992857,1528.1244552433866,29965.577133549905,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.50805258424057e-05
27,-20.125,-68.775,523517.588,7774670.206,22766.756614154976,11233.650574598414,34900.54774808221,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.504863134833832e-05
28,-20.075,-68.775,523525.055,7780203.301,17417.227129242663,7082.72490215638,30311.32680645351,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.517255558123478e-05
29,-20.075,-68.725,528752.874,7780195.472,19592.53592965078,11741.284649417985,27502.410790013626,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.493729713249466e-05
30,-20.075,-68.675,533980.709,7780186.076,22783.507442455964,16739.90145420382,25470.076238253383,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.448327901639153e-05
31,-20.025,-68.775,523532.505,7785736.366,12232.141378882621,5946.863820618575,26090.93646458414,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.549994404438814e-05
32,-20.025,-68.725,528761.979,7785728.552,15170.957554654975,11094.398725895266,22766.00266368996,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.509827132774058e-05
33,-20.025,-68.675,533991.469,7785719.176,19115.98464052895,16294.085614508665,20263.217716318828,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.434604463116459e-05
34,-19.975,-68.725,528771.062,7791261.602,11733.645614311403,13020.86072278819,18477.841608863528,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.529239114205151e-05
35,-19.975,-68.675,534002.204,7791252.245,16522.218987643293,17663.508478885033,15287.348609279426,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.395724893869775e-05
36,-20.075,-68.625,539208.564,7780175.114,26627.481392934827,21846.40364021255,24409.088622705458,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.39918424109983e-05
37,-20.025,-68.625,539220.98,7785708.237,23567.241023560102,21508.152403648422,18911.872274964717,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.361121973318245e-05
38,-20.025,-68.575,544450.513,7785695.735,28286.758539277496,26728.20007773432,18959.810295764608,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.309493653693444e-05
39,-19.975,-68.625,539233.366,7791241.329,21518.300233201495,22564.693178729405,13444.195580405663,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.284220341298003e-05
40,-19.975,-68.575,544464.551,7791228.853,26605.260955029316,27586.975724446682,13511.53230678174,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.22350523548842e-05
41,-19.925,-68.675,534012.912,7796785.283,15549.137368993606,20487.3161304215,10864.57037557563,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.307976467317421e-05
42,-19.925,-68.625,539245.722,7796774.389,20781.93736220478,24838.650748432647,8066.290160203674,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.135010002741171e-05
43,-19.925,-68.575,544478.555,7796761.939,26014.77529992809,29477.353171167775,8178.024932081248,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.077786731542337e-05
44,-19.875,-68.675,534023.595,7802318.29,16486.229346582695,24262.894129269192,7975.243973580073,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.189746705461608e-05
45,-19.825,-68.675,534034.252,7807851.266,19053.68504615985,28615.943045621458,8390.40482231097,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.15988015756667e-05
46,-19.775,-68.675,534044.884,7813384.211,22704.98052401675,33320.88862248399,11765.244292320489,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.21114571458256e-05
47,-19.775,-68.625,539282.612,7813373.386,26567.072906956397,36162.11717634263,9241.07300304132,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.09509912891703e-05
48,-19.775,-68.575,544520.364,7813361.014,30837.001000043816,39495.506784401616,9338.85920959832,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.05943264028287e-05
49,-19.775,-68.925,507856.481,7813415.139,19654.36783879593,30738.545318975437,35016.05072235714,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.567162313482862e-05
50,-19.775,-68.875,513094.14,7813412.046,17392.750425902133,29468.452216323156,29981.769749861614,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.561397782416393e-05
51,-19.825,-68.925,507854.027,7807882.259,15292.593006478706,25563.731690772216,34025.91705852771,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.6203943446632e-05
52,-19.875,-68.925,507851.568,7802349.349,11943.949854065393,20576.08171699458,33920.91175576537,9.159034218954393e-05,8.463385469260173e-05,7.630906668405863e-05,8.6716673182785e-05
