,lat_cr2,lon_cr2,x_cr2,y_cr2,Dist_Lag,Dist_Co,Dist_Ca,Fact_Lag,Fact_Coy,Fact_Can,Factor
0,-19.975,-68.925,507846.632,7791283.434,11996.96006444034,12115.869264885014,36332.36871055577,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00011627005138931508
1,-19.975,-68.875,513077.724,7791280.315,7761.789044891426,8391.698069247179,31515.61707318121,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00011284572393253433
2,-19.975,-68.825,518308.825,7791275.637,5595.51507284118,6982.397555739394,26855.103093125348,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001098986275697837
3,-19.975,-68.775,523539.936,7791269.399,7557.820958139623,9044.028381163991,22448.355403309437,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00011496504828983267
4,-19.925,-68.925,507849.103,7796816.407,10615.027288907833,15952.160252964155,34709.08484054662,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001118603778240523
5,-19.925,-68.875,513081.843,7796813.295,5382.445263973808,13344.430381086791,29627.86784417123,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00010161419161507401
6,-19.925,-68.825,518314.591,7796808.626,161.14611120649408,12506.01791815289,24610.71164999407,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,7.293398972280096e-05
7,-19.925,-68.775,523547.35,7796802.401,5083.786251338742,13764.147527445748,19706.609697644795,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001049244127458164
8,-19.925,-68.725,528780.123,7796794.62,10316.391139130457,16650.16849078508,15026.672701484076,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00012396034270572035
9,-19.875,-68.875,513085.952,7802346.243,7676.170345383871,18626.69473200614,28698.701420401492,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001062284732093977
10,-19.875,-68.825,518320.343,7802341.584,5474.469195337828,18035.35306997614,23482.045921441902,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00010217656536012855
11,-19.875,-68.775,523554.746,7802335.372,7469.733440953877,18929.766802761085,18275.704867252007,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00011234883597294312
12,-19.875,-68.725,528789.162,7802327.608,11679.2710227954,21122.040195774378,13092.004854104953,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00012899307978532474
13,-19.825,-68.875,513090.051,7807879.16,12251.650953247261,24022.060369006824,28820.96102586108,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00011449906896050441
14,-19.825,-68.825,518326.082,7807874.511,11006.375141064551,23566.358983047045,23629.505792120257,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00011553757625094059
15,-19.825,-68.775,523562.124,7807868.312,12123.354848915307,24257.913380518043,18462.9466294175,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00012230877159709398
16,-19.825,-68.725,528798.18,7807860.564,15086.741047638568,26005.36787877666,13350.231826545049,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00013428381122470562
17,-19.775,-68.825,518331.806,7813407.407,16538.93531492501,29098.06519992807,25030.528995953715,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00012290237204155618
18,-19.775,-68.775,523569.484,7813401.222,17302.61052938377,29661.113541395305,20223.414233989803,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00012821339329218304
19,-19.875,-68.625,539258.049,7802307.419,21493.461215773492,28035.321444098932,3257.8768107408587,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00016963987468108922
20,-19.875,-68.575,544492.525,7802294.995,26588.071299281044,32218.240907530246,3525.491757989181,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001713165854923133
21,-19.825,-68.625,539270.345,7807840.418,23521.81976781854,31878.30421264169,4170.3204658331015,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00016734961548950267
22,-19.825,-68.575,544506.461,7807828.02,28254.378320835724,35613.79333051873,4382.636280929327,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00016919614857097972
23,-20.075,-68.875,513069.457,7780214.263,17506.609001117526,6228.84254143704,37520.27027959694,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00012765827755365929
24,-20.075,-68.825,518297.251,7780209.565,16660.269498066722,4140.698996573239,33703.203979031525,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00013015578909481097
25,-20.025,-68.875,513073.596,7785747.305,12359.148633957253,4898.483280387916,34203.6122833576,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00012527789302559415
26,-20.025,-68.825,518303.045,7785742.617,11127.547131992857,1528.1244552433866,29965.577133549905,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001321459421673947
27,-20.125,-68.775,523517.588,7774670.206,22766.756614154976,11233.650574598414,34900.54774808221,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001285921586397724
28,-20.075,-68.775,523525.055,7780203.301,17417.227129242663,7082.72490215638,30311.32680645351,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00012841191150264714
29,-20.075,-68.725,528752.874,7780195.472,19592.53592965078,11741.284649417985,27502.410790013626,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001286947494047788
30,-20.075,-68.675,533980.709,7780186.076,22783.507442455964,16739.90145420382,25470.076238253383,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00013118215165468103
31,-20.025,-68.775,523532.505,7785736.366,12232.141378882621,5946.863820618575,26090.93646458414,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001255642750232791
32,-20.025,-68.725,528761.979,7785728.552,15170.957554654975,11094.398725895266,22766.00266368996,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00012690385889506874
33,-20.025,-68.675,533991.469,7785719.176,19115.98464052895,16294.085614508665,20263.217716318828,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.00013168813699481632
34,-19.975,-68.725,528771.062,7791261.602,11733.645614311403,13020.86072278819,18477.841608863528,7.13451772653421e-05,0.0001376340934147958,0.00018825818692697147,0.0001241719663831836
